level,document_id,aggr_document_id,question_1,idx_q1,question_2,idx_q2,auth1,auth2,Turker,sum,label,agreement
high,10466.txt,high10466.txt,"According to the passage, which of the following statements is TRUE?",1,"From the passage, we can conclude  _  .",2,1,1,2,4,1,2
high,1104.txt,high1104.txt,Why does Hamad have his seven Mercedes-Benz500 SELs painted in different colors?,1,Which of the following might be the best title for the passage?,2,1,1,2,4,1,2
high,1171.txt,high1171.txt,Why did Tom take all his bits of toys out of his pockets?,1,Which of the following is the most suitable title for this passage?,5,2,2,2,6,2,3
high,11813.txt,high11813.txt,Good distribution means   _  .,1,The best title of the passage should be   _,2,1,2,1,4,1,2
high,11977.txt,high11977.txt,Instagram probably is  _  .,0,"""The Picture House""encourages sharing photos of its food to  _  .",2,2,2,2,6,2,3
high,1229.txt,high1229.txt,If you want to hike various trails you are advised to  _  .,1,What do we know from the passage?,2,2,2,2,6,2,3
high,12719.txt,high12719.txt,_  was on fire.,0,How did the people who didn't jump out of the window get out of the building?,3,2,2,2,6,2,3
high,16823.txt,high16823.txt,"If the travelers want to drive in Mexico, they should_.",2,What can we know from the passage?,3,2,2,2,6,2,3
high,17032.txt,high17032.txt,What's the function of the paintbrush?,1,How can you read the message in invisible ink easily?,2,2,1,2,5,2,2
high,17194.txt,high17194.txt,When did this kidnapping take place?,0,Which of the following description is not correct ?,3,2,2,2,6,2,3
high,17226.txt,high17226.txt,The purpose of the home page of your website is   _  .,2,"The writer thinks that if you are too ambitious at the beginning,   _  .",3,2,2,1,5,2,2
high,17911.txt,high17911.txt,What might be the author's purpose in writing the text?,0,"According to the text,in two decades,",1,2,1,1,4,1,2
high,18225.txt,high18225.txt,The passage may be taken from  _  .,0,"According to the passage, to get a good lerning state, the most important thing is   _  .",1,1,2,1,4,1,2
high,18269.txt,high18269.txt,What do we know from the passage?,1,Why did Yola give the author food?,2,1,2,1,4,1,2
high,18968.txt,high18968.txt,According to the passage Botanical Garden   _,1,What should be the best title for the passage?,3,2,1,2,5,2,2
high,20231.txt,high20231.txt,The purpose of this passage is to tell readers   _  .,0,Why are some people depressed and anxious day and night?,3,1,2,1,4,1,2
high,20280.txt,high20280.txt,What does the writer think of picking a lunch box?,2,What can be filled in the blank in the first item?,3,2,1,2,5,2,2
high,21306.txt,high21306.txt,"About students in ""prep school"", which of the following facts might NOTbe true?",0,What might be the author's attitude towards the prep school scheme?,4,1,1,2,4,1,2
high,2137.txt,high2137.txt,People usually buy many gifts  _  .,1,How do people celebrate Buy Nothing Day?,2,2,2,2,6,2,3
high,21747.txt,high21747.txt,"Following up the passage, the author will probably   _  .",1,Which of the following is the best title for the passage?,3,1,1,1,3,1,3
high,21752.txt,high21752.txt,What can be learned from the passage?,2,What is suggested by health experts when one suffers from a sudden increase in hair loss?,3,1,1,1,3,1,3
high,21884.txt,high21884.txt,The purpose of the school relocation is   _  .,0,Cancienne and his team made no money from the project because   _  .,1,2,2,2,6,2,3
high,22251.txt,high22251.txt,Why does the author sometimes doubt that there is real love between her parents?,0,What made her father change so greatly?,2,2,2,1,5,2,2
high,23837.txt,high23837.txt,Which of the following is NOT the reason for colleges to change their names?,0,"The case of name changing from Cal State, Hayward, to Cal State,East Bay indicates that the university   _  .",3,1,1,1,3,1,3
high,23913.txt,high23913.txt,In which part of the newspaper can you find this passage most possibly?,1,The author writes the passage mainly to_.,2,2,2,2,6,2,3
high,2972.txt,high2972.txt,Which of the following didn't Liz ask Ana to do?,1,"According to Liz, if your boss is leaving for another job, you can  _  .",3,1,2,1,4,1,2
high,3753.txt,high3753.txt,The strawberries the children eat serve as  _  .,2,How is the text organized?,3,2,2,2,6,2,3
high,3864.txt,high3864.txt,The number of refereeing errors in the experimental matches was   _  .,1,"The word ""officials"" (Para. 4) most probably refers to   _  .",3,1,1,2,4,1,2
high,4104.txt,high4104.txt,Point was the purpose of Edinburgh Festival at he beginning?,0,We may learn from the text that Edinburgh Festival.,3,2,2,1,5,2,2
high,4425.txt,high4425.txt,The first man who came up to him was   _  .,0,"In the opinion of one of the policeman who had arrested the author, the whole thing might not have occurred if   _  .",3,1,2,2,5,2,2
high,5274.txt,high5274.txt,The Queen's broadcasts were chosen for the study mainly because  _  .,0,Which of the following is an example of a less noble accent in English?,1,2,2,1,5,2,2
high,6034.txt,high6034.txt,Hollis refused to send Blanchard a photo because  _  .,1,What was the real Miss Hollis Maynell like?,3,2,2,1,5,2,2
high,6129.txt,high6129.txt,"According to the passage, which of the following statements is right?",0,Which of the following can best serve as the title of the passage?,2,2,2,2,6,2,3
high,6512.txt,high6512.txt,What can be learned from the passage?,2,Which of the following might be the best title of the passage?,3,1,1,2,4,1,2
high,7203.txt,high7203.txt,The passage is mainly about  _  .,0,In which country do people care about where to put their hands at the dinner table?,3,2,2,1,5,2,2
high,785.txt,high785.txt,Chow felt   _   when he learned that he had been written into middle school textbooks.,1,What can we infer from the passage?,2,2,2,2,6,2,3
high,8631.txt,high8631.txt,"According to the passage, the behavior of others towards you can be changed by your  _  .",3,"From the passage, it can be inferred that  _  .",4,2,2,2,6,2,3
high,8989.txt,high8989.txt,"According to Wansink, which of the following affects the amount of wine we drink:   _  .",1,What's the main idea of the passage?,2,2,2,2,6,2,3
high,9107.txt,high9107.txt,What is the main idea of the passage?,0,Albert Einstein warned Roosevelt of   _  .,1,1,1,1,3,1,3
high,9122.txt,high9122.txt,"According to the passage, what did nature represent to Isadora Duncan?",0,Which of the following would be the best title for the passage?,4,2,2,1,5,2,2
